Descrição;Classificação;Origem / Destino;CFOP_ID;CFOP Descrição
Devolução de venda de combustível ou lubrificante destinados à comercialização;Classificam-se neste código as entradas de insumos recebidos para industrialização por encomenda de outra empresa ou de outro estabelecimento da mesma empresa.;Origem / Destino Dentro Estado;1661;1.661 - Devolução de venda de combustível ou lubrificante destinados à comercialização
Devolução de venda de combustível ou lubrificante destinados a consumidor ou usuário final;Classificam-se neste código as entradas de insumos recebidos para industrialização por encomenda de outra empresa ou de outro estabelecimento da mesma empresa.;Origem / Destino Dentro Estado;1662;1.662 - Devolução de venda de combustível ou lubrificante destinados a consumidor ou usuário final
Entrada de combustível ou lubrificante para armazenagem;Classificam-se neste código as entradas de insumos recebidos para industrialização por encomenda de outra empresa ou de outro estabelecimento da mesma empresa.;Origem / Destino Dentro Estado;1663;1.663 - Entrada de combustível ou lubrificante para armazenagem
Retorno de combustível ou lubrificante remetidos para armazenagem;Classificam-se neste código as entradas de insumos recebidos para industrialização por encomenda de outra empresa ou de outro estabelecimento da mesma empresa.;Origem / Destino Dentro Estado;1664;1.664 - Retorno de combustível ou lubrificante remetidos para armazenagem
Entrada para industrialização por encomenda;Classificam-se neste código as entradas de insumos recebidos para industrialização por encomenda de outra empresa ou de outro estabelecimento da mesma empresa.;Origem / Destino Dentro Estado;1901;1.901 - Entrada para industrialização por encomenda
Retorno de mercadoria remetida para industrialização por encomenda;Classificam-se neste código o retorno dos insumos remetidos para industrialização por encomenda, incorporados ao produto final pelo estabelecimento industrializador.;Origem / Destino Dentro Estado;1902;1.902 - Retorno de mercadoria remetida para industrialização por encomenda
Entrada de mercadoria remetida para industrialização e não aplicada no referido processo;Classificam-se neste código as entradas em devolução de insumos remetidos para industrialização e não aplicados no referido processo.;Origem / Destino Dentro Estado;1903;1.903 - Entrada de mercadoria remetida para industrialização e não aplicada no referido processo
Retorno de remessa para venda fora do estabelecimento;Classificam-se neste código as entradas em retorno de mercadorias remetidas para venda fora do estabelecimento, inclusive por meio de veículos, e não comercializadas.;Origem / Destino Dentro Estado;1904;1.904 - Retorno de remessa para venda fora do estabelecimento
Entrada de mercadoria recebida para depósito em depósito fechado ou armazém geral;Classificam-se neste código as entradas de mercadorias recebidas para depósito em depósito fechado ou armazém geral.;Origem / Destino Dentro Estado;1905;1.905 - Entrada de mercadoria recebida para depósito em depósito fechado ou armazém geral
Retorno de mercadoria remetida para depósito fechado ou armazém geral;Classificam-se neste código as entradas em retorno de mercadorias remetidas para depósito em depósito fechado ou armazém geral.;Origem / Destino Dentro Estado;1906;1.906 - Retorno de mercadoria remetida para depósito fechado ou armazém geral
Retorno simbólico de mercadoria remetida para depósito fechado ou armazém geral;Classificam-se neste código as entradas em retorno simbólico de mercadorias remetidas para depósito em depósito fechado ou armazém geral, quando as mercadorias depositadas tenham sido objeto de saída a qualquer título e que não tenham retornado ao estabelecimento depositante.;Origem / Destino Dentro Estado;1907;1.907 - Retorno simbólico de mercadoria remetida para depósito fechado ou armazém geral
Entrada de bem por conta de contrato de comodato ou locação - Efeitos a partir de 01/03/2020 - Ajuste Sinief nº 34/2019;Classificam-se neste código as entradas de bens recebidos em cumprimento de contrato de comodato ou locação.;Origem / Destino Dentro Estado;1908;1.908 - Entrada de bem por conta de contrato de comodato ou locação - Efeitos a partir de 01/03/2020 - Ajuste Sinief nº 34/2019
Retorno de bem remetido por conta de contrato de comodato ou locação - Efeitos a partir de 01/03/2020 - Ajuste Sinief nº 34/2019;Classificam-se neste código as entradas de bens recebidos em devolução após cumprido o contrato de comodato ou locação.;Origem / Destino Dentro Estado;1909;1.909 - Retorno de bem remetido por conta de contrato de comodato ou locação - Efeitos a partir de 01/03/2020 - Ajuste Sinief nº 34/2019
Entrada de bonificação, doação ou brinde;Classificam-se neste código as entradas de mercadorias recebidas a título de bonificação, doação ou brinde.;Origem / Destino Dentro Estado;1910;1.910 - Entrada de bonificação, doação ou brinde
Entrada de amostra grátis;Classificam-se neste código as entradas de mercadorias recebidas a título de amostra grátis.;Origem / Destino Dentro Estado;1911;1.911 - Entrada de amostra grátis
Entrada de mercadoria ou bem recebido para demonstração ou mostruário;Classificam-se neste código as entradas de mercadorias ou bens recebidos para demonstração ou mostruário.;Origem / Destino Dentro Estado;1912;1.912 - Entrada de mercadoria ou bem recebido para demonstração ou mostruário
Retorno de mercadoria ou bem remetido para demonstração, mostruário ou treinamento;Classificam-se neste código as entradas em retorno de mercadorias ou bens remetidos para demonstração, mostruário ou treinamento.;Origem / Destino Dentro Estado;1913;1.913 - Retorno de mercadoria ou bem remetido para demonstração, mostruário ou treinamento
Retorno de mercadoria ou bem remetido para exposição ou feira;Classificam-se neste código as entradas em retorno de mercadorias ou bens remetidos para exposição ou feira.;Origem / Destino Dentro Estado;1914;1.914 - Retorno de mercadoria ou bem remetido para exposição ou feira
Entrada de mercadoria ou bem recebido para conserto ou reparo;Classificam-se neste código as entradas de mercadorias ou bens recebidos para conserto ou reparo.;Origem / Destino Dentro Estado;1915;1.915 - Entrada de mercadoria ou bem recebido para conserto ou reparo
Retorno de mercadoria ou bem remetido para conserto ou reparo;Classificam-se neste código as entradas em retorno de mercadorias ou bens remetidos para conserto ou reparo.;Origem / Destino Dentro Estado;1916;1.916 - Retorno de mercadoria ou bem remetido para conserto ou reparo
Entrada de mercadoria recebida em consignação mercantil ou industrial;Classificam-se neste código as entradas de mercadorias recebidas a título de consignação mercantil ou industrial.;Origem / Destino Dentro Estado;1917;1.917 - Entrada de mercadoria recebida em consignação mercantil ou industrial
Devolução de mercadoria remetida em consignação mercantil ou industrial;Classificam-se neste código as entradas por devolução de mercadorias remetidas anteriormente a título de consignação mercantil ou industrial.;Origem / Destino Dentro Estado;1918;1.918 - Devolução de mercadoria remetida em consignação mercantil ou industrial
Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, remetida anteriormente em consignação mercantil ou industrial;Classificam-se neste código as entradas por devolução simbólica de mercadorias vendidas ou utilizadas em processo industrial, remetidas anteriormente a título de consignação mercantil ou industrial.;Origem / Destino Dentro Estado;1919;1.919 - Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, remetida anteriormente em consignação mercantil ou industrial
Entrada de vasilhame ou sacaria;Classificam-se neste código as entradas de vasilhame ou sacaria.;Origem / Destino Dentro Estado;1920;1.920 - Entrada de vasilhame ou sacaria
Retorno de vasilhame ou sacaria;Classificam-se neste código as entradas em retorno de vasilhame ou sacaria.;Origem / Destino Dentro Estado;1921;1.921 - Retorno de vasilhame ou sacaria
Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro;Classificam-se neste código os registros efetuados a título de simples faturamento decorrente de compra para recebimento futuro.;Origem / Destino Dentro Estado;1922;1.922 - Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro
Entrada de mercadoria recebida do vendedor remetente, em venda à ordem;Classificam-se neste código as entradas de mercadorias recebidas do vendedor remetente, em vendas à ordem, cuja compra do adquirente originário, foi classificada nos códigos 1120 ou 2120 - Compra para industrialização, em venda à ordem, já recebida do vendedor remetente ou 1121 ou 2121 - Compra para comercialização, em venda à ordem, já recebida do vendedor remetente.;Origem / Destino Dentro Estado;1923;1.923 - Entrada de mercadoria recebida do vendedor remetente, em venda à ordem
Entrada para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente;Classificam-se neste código as entradas de insumos recebidos para serem industrializados por conta e ordem do adquirente, nas hipóteses em que os insumos não tenham transitado pelo estabelecimento do adquirente dos mesmos.;Origem / Destino Dentro Estado;1924;1.924 - Entrada para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente
Retorno de mercadoria remetida para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente;Classificam-se neste código o retorno dos insumos remetidos por conta e ordem do adquirente, para industrialização e incorporados ao produto final pelo estabelecimento industrializador, nas hipóteses em que os insumos não tenham transitado pelo estabelecimento do adquirente.;Origem / Destino Dentro Estado;1925;1.925 - Retorno de mercadoria remetida para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente
Lançamento efetuado a título de reclassificação de mercadoria decorrente de formação de kit ou de sua desagregação;Classificam-se neste código os registros efetuados a título de reclassificação decorrente de formação de kit de mercadorias ou de sua desagregação.;Origem / Destino Dentro Estado;1926;1.926 - Lançamento efetuado a título de reclassificação de mercadoria decorrente de formação de kit ou de sua desagregação
Lançamento efetuado pelo tomador do serviço de transporte, quando a responsabilidade de retenção do imposto for atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não-inscrito na Unidade da Federação onde se tenha iniciado o serviço;"Classificam-se neste código as entradas simbólicas de mercadorias recebidas para depósito em depósito fechado ou armazém geral, cuja remessa tenha sido classificada pelo remetente no código ""5934 - Remessa simbólica de mercadoria depositada em armazém geral ou depósito fechado.";Origem / Destino Dentro Estado;1931;1.931 - Lançamento efetuado pelo tomador do serviço de transporte, quando a responsabilidade de retenção do imposto for atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não-inscrito na Unidade da Federação onde se tenha iniciado o serviço
Aquisição de serviço de transporte iniciado em Unidade da Federação diversa daquela onde esteja inscrito o prestador;"Classificam-se neste código as entradas simbólicas de mercadorias recebidas para depósito em depósito fechado ou armazém geral, cuja remessa tenha sido classificada pelo remetente no código ""5934 - Remessa simbólica de mercadoria depositada em armazém geral ou depósito fechado.";Origem / Destino Dentro Estado;1932;1.932 - Aquisição de serviço de transporte iniciado em Unidade da Federação diversa daquela onde esteja inscrito o prestador
Aquisição de serviço tributado pelo Imposto sobre Serviços de Qualquer Natureza;"Classificam-se neste código as entradas simbólicas de mercadorias recebidas para depósito em depósito fechado ou armazém geral, cuja remessa tenha sido classificada pelo remetente no código ""5934 - Remessa simbólica de mercadoria depositada em armazém geral ou depósito fechado.";Origem / Destino Dentro Estado;1933;1.933 - Aquisição de serviço tributado pelo Imposto sobre Serviços de Qualquer Natureza
Entrada simbólica de mercadoria recebida para depósito fechado ou armazém geral;"Classificam-se neste código as entradas simbólicas de mercadorias recebidas para depósito em depósito fechado ou armazém geral, cuja remessa tenha sido classificada pelo remetente no código ""5934 - Remessa simbólica de mercadoria depositada em armazém geral ou depósito fechado.";Origem / Destino Dentro Estado;1934;1.934 - Entrada simbólica de mercadoria recebida para depósito fechado ou armazém geral
Outra entrada de mercadoria ou prestação de serviço não especificada;Classificam-se neste código as outras entradas de mercadorias ou prestações de serviços que não tenham sido especificadas nos códigos anteriores.;Origem / Destino Dentro Estado;1949;1.949 - Outra entrada de mercadoria ou prestação de serviço não especificada
Venda de produção do estabelecimento;Classificam-se neste código as vendas de produtos industrializados ou produzidos pelo próprio estabelecimento.;Origem / Destino Dentro Estado;5101;5.101 - Venda de produção do estabelecimento
Venda de mercadoria adquirida ou recebida de terceiros;Classificam-se neste código as vendas de mercadorias adquiridas ou recebidas de terceiros para industrialização ou comercialização, que não tenham sido objeto de qualquer processo industrial no estabelecimento.;Origem / Destino Dentro Estado;5102;5.102 - Venda de mercadoria adquirida ou recebida de terceiros
Venda de produção do estabelecimento efetuada fora do estabelecimento;Classificam-se neste código as vendas efetuadas fora do estabelecimento, inclusive por meio de veículo, de mercadorias adquiridas ou recebidas de terceiros para industrialização ou comercialização, que não tenham sido objeto de qualquer processo industrial no estabelecimento.;Origem / Destino Dentro Estado;5103;5.103 - Venda de produção do estabelecimento efetuada fora do estabelecimento
Venda de mercadoria adquirida ou recebida de terceiros, efetuada fora do estabelecimento;Classificam-se neste código as vendas efetuadas fora do estabelecimento, inclusive por meio de veículo, de mercadorias adquiridas ou recebidas de terceiros para industrialização ou comercialização, que não tenham sido objeto de qualquer processo industrial no estabelecimento.;Origem / Destino Dentro Estado;5104;5.104 - Venda de mercadoria adquirida ou recebida de terceiros, efetuada fora do estabelecimento
Venda de produção do estabelecimento que não deva por ele transitar;Classificam-se neste código as vendas de produtos industrializados no estabelecimento, armazenados em depósito fechado, armazém geral ou outro sem que haja retorno ao estabelecimento depositante.;Origem / Destino Dentro Estado;5105;5.105 - Venda de produção do estabelecimento que não deva por ele transitar
Venda de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar;Classificam-se neste código as vendas de mercadorias adquiridas ou recebidas de terceiros para industrialização ou comercialização, armazenadas em depósito fechado, armazém geral ou outro, que não tenham sido objeto de qualquer processo industrial no estabelecimento sem que haja retorno ao estabelecimento depositante. Também serão classificadas neste código as vendas de mercadorias importadas, cuja saída ocorra do recinto alfandegado ou da repartição alfandegária onde se processou o desembaraço aduaneiro com destino ao estabelecimento do comprador, sem transitar pelo estabelecimento do importador.;Origem / Destino Dentro Estado;5106;5.106 - Venda de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar
Venda de produção do estabelecimento destinada à ZFM ou ALC;Classificam-se neste código as vendas efetivas de produtos industrializados no estabelecimento remetidos anteriormente a título de consignação industrial.;Origem / Destino Dentro Estado;5109;5.109 - Venda de produção do estabelecimento destinada à ZFM ou ALC
Venda de mercadoria, adquirida ou recebida de terceiros, destinada à ZFM ou ALC, de que trata o Anexo do Convênio SINIEF s/n, de 15/12/1970, que dispõe sobre o Sistema Nacional Integrado de Informações Econômico-Fiscais;Classificam-se neste código as vendas efetivas de produtos industrializados no estabelecimento remetidos anteriormente a título de consignação industrial.;Origem / Destino Dentro Estado;5110;5.110 - Venda de mercadoria, adquirida ou recebida de terceiros, destinada à ZFM ou ALC, de que trata o Anexo do Convênio SINIEF s/n, de 15/12/1970, que dispõe sobre o Sistema Nacional Integrado de Informações Econômico-Fiscais
Venda de produção do estabelecimento remetida anteriormente em consignação industrial;Classificam-se neste código as vendas efetivas de produtos industrializados no estabelecimento remetidos anteriormente a título de consignação industrial.;Origem / Destino Dentro Estado;5111;5.111 - Venda de produção do estabelecimento remetida anteriormente em consignação industrial
Venda de mercadoria adquirida ou recebida de terceiros remetida anteriormente em consignação industrial;Classificam-se neste código as vendas efetivas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de qualquer processo industrial no estabelecimento, remetidas anteriormente a título de consignação industrial.;Origem / Destino Dentro Estado;5112;5.112 - Venda de mercadoria adquirida ou recebida de terceiros remetida anteriormente em consignação industrial
Venda de produção do estabelecimento remetida anteriormente em consignação mercantil;Classificam-se neste código as vendas efetivas de produtos industrializados no estabelecimento remetidos anteriormente a título de consignação mercantil.;Origem / Destino Dentro Estado;5113;5.113 - Venda de produção do estabelecimento remetida anteriormente em consignação mercantil
Venda de mercadoria adquirida ou recebida de terceiros remetida anteriormente em consignação mercantil;Classificam-se neste código as vendas efetivas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de qualquer processo industrial no estabelecimento, remetidas anteriormente a título de consignação mercantil.;Origem / Destino Dentro Estado;5114;5.114 - Venda de mercadoria adquirida ou recebida de terceiros remetida anteriormente em consignação mercantil
Venda de mercadoria adquirida ou recebida de terceiros, recebida anteriormente em consignação mercantil;Classificam-se neste código as vendas de mercadorias adquiridas ou recebidas de terceiros, recebidas anteriormente a título de consignação mercantil.;Origem / Destino Dentro Estado;5115;5.115 - Venda de mercadoria adquirida ou recebida de terceiros, recebida anteriormente em consignação mercantil
Venda de produção do estabelecimento originada de encomenda para entrega futura;Classificam-se neste código as vendas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de qualquer processo industrial no estabelecimento, quando da saída real da mercadoria, cujo faturamento tenha sido classificado no código 5922 ou 6922 - Lançamento efetuado a título de simples faturamento decorrente de venda para entrega futura.;Origem / Destino Dentro Estado;5116;5.116 - Venda de produção do estabelecimento originada de encomenda para entrega futura
Venda de mercadoria adquirida ou recebida de terceiros, originada de encomenda para entrega futura;Classificam-se neste código as vendas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de qualquer processo industrial no estabelecimento, quando da saída real da mercadoria, cujo faturamento tenha sido classificado no código 5922 ou 6922 - Lançamento efetuado a título de simples faturamento decorrente de venda para entrega futura.;Origem / Destino Dentro Estado;5117;5.117 - Venda de mercadoria adquirida ou recebida de terceiros, originada de encomenda para entrega futura
Venda de produção do estabelecimento entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem;Classificam-se neste código as vendas à ordem de produtos industrializados pelo estabelecimento, entregues ao destinatário por conta e ordem do adquirente originário.;Origem / Destino Dentro Estado;5118;5.118 - Venda de produção do estabelecimento entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem
Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem;Classificam-se neste código as vendas à ordem de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de qualquer processo industrial no estabelecimento, entregues ao destinatário por conta e ordem do adquirente originário.;Origem / Destino Dentro Estado;5119;5.119 - Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem
Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem;Classificam-se neste código as vendas à ordem de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de qualquer processo industrial no estabelecimento, entregues pelo vendedor remetente ao destinatário, cuja compra seja classificada, pelo adquirente originário, no código 1118 ou 2118 - Compra de mercadoria pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem.;Origem / Destino Dentro Estado;5120;5.120 - Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem
Venda de produção do estabelecimento remetida para industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente;Classificam-se neste código as vendas de produtos industrializados no estabelecimento, remetidos para serem industrializados em outro estabelecimento, por conta e ordem do adquirente, sem que os produtos tenham transitado pelo estabelecimento do adquirente.;Origem / Destino Dentro Estado;5122;5.122 - Venda de produção do estabelecimento remetida para industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente
Venda de mercadoria adquirida ou recebida de terceiros remetida para industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente;Classificam-se neste código as vendas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de qualquer processo industrial no estabelecimento, remetidas para serem industrializadas em outro estabelecimento, por conta e ordem do adquirente, sem que as mercadorias tenham transitado pelo estabelecimento do adquirente.;Origem / Destino Dentro Estado;5123;5.123 - Venda de mercadoria adquirida ou recebida de terceiros remetida para industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente
Industrialização efetuada para outra empresa;Classificam-se neste código as saídas de mercadorias industrializadas para terceiros, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial.;Origem / Destino Dentro Estado;5124;5.124 - Industrialização efetuada para outra empresa
Industrialização efetuada para outra empresa quando a mercadoria recebida para utilização no processo de industrialização não transitar pelo estabelecimento adquirente da mercadoria;Classificam-se neste código as saídas de mercadorias industrializadas para outras empresas, em que as mercadorias recebidas para utilização no processo de industrialização não tenham transitado pelo estabelecimento do adquirente das mercadorias, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial.;Origem / Destino Dentro Estado;5125;5.125 - Industrialização efetuada para outra empresa quando a mercadoria recebida para utilização no processo de industrialização não transitar pelo estabelecimento adquirente da mercadoria
Venda de insumo importado e de mercadoria industrializada sob o amparo do Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped).;Classificam-se neste código as vendas de insumos importados e de produtos industrializados pelo próprio estabelecimento sob amparo do Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped).;Origem / Destino Dentro Estado;5129;5.129 - Venda de insumo importado e de mercadoria industrializada sob o amparo do Regime Aduaneiro Especial de Entreposto Industrial sob Controle Informatizado do Sistema Público de Escrituração Digital (Recof-Sped).
Remessa de produção do estabelecimento, com previsão de posterior ajuste ou fixação de preço, de ato cooperativo;Classificam-se neste código as saídas de produção de cooperativa, de estabelecimento de cooperado, com previsão de posterior ajuste ou fixação de preço.;Origem / Destino Dentro Estado;5131;5.131 - Remessa de produção do estabelecimento, com previsão de posterior ajuste ou fixação de preço, de ato cooperativo
Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço ou fixação de preço de ato cooperativo.;"Classificam-se neste código a fixação de preço de produção do estabelecimento do produtor, inclusive quando cuja remessa anterior tenha sido classificada sob o código ""5.131 - Remessa de produção do estabelecimento, com previsão de posterior ajuste ou fixação de preço, de ato cooperativo"" ou ""6.131 - Remessa de produção de estabelecimento, com previsão de posterior ajuste ou fixação de preço de ato cooperativo"", conforme a operação seja dentro ou fora do Estado respectivamente.";Origem / Destino Dentro Estado;5132;5.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço ou fixação de preço de ato cooperativo.
Transferência de produção do estabelecimento;Classificam-se neste código as transferências de energia elétrica para outro estabelecimento da mesma empresa, para distribuição.;Origem / Destino Dentro Estado;5151;5.151 - Transferência de produção do estabelecimento
Transferência de mercadoria adquirida e/ou recebida de terceiros;Classificam-se neste código as transferências de energia elétrica para outro estabelecimento da mesma empresa, para distribuição.;Origem / Destino Dentro Estado;5152;5.152 - Transferência de mercadoria adquirida e/ou recebida de terceiros
Transferência de energia elétrica;Classificam-se neste código as transferências de energia elétrica para outro estabelecimento da mesma empresa, para distribuição.;Origem / Destino Dentro Estado;5153;5.153 - Transferência de energia elétrica
Transferência de produção do estabelecimento, que não deva por ele transitar;Classificam-se neste código as transferências para outro estabelecimento da mesma empresa, de produtos industrializados no estabelecimento que tenham sido remetidos para armazém geral, depósito fechado ou outro, sem que haja retorno ao estabelecimento depositante.;Origem / Destino Dentro Estado;5155;5.155 - Transferência de produção do estabelecimento, que não deva por ele transitar
Transferência de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar;Classificam-se neste código as transferências para outro estabelecimento da mesma empresa, de mercadorias adquiridas ou recebidas de terceiros para industrialização ou comercialização, que não tenham sido objeto de qualquer processo industrial, remetidas para armazém geral, depósito fechado ou outro, sem que haja retorno ao estabelecimento depositante.;Origem / Destino Dentro Estado;5156;5.156 - Transferência de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar
Fornecimento de produção do estabelecimento de ato cooperativo - Efeitos a partir de 01/09/2018;Classificam-se neste código os fornecimentos de produtos industrializados ou produzidos pelo próprio estabelecimento de cooperativa destinados a seus cooperados ou a estabelecimento de outra cooperativa.;Origem / Destino Dentro Estado;5159;5.159 - Fornecimento de produção do estabelecimento de ato cooperativo - Efeitos a partir de 01/09/2018
Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo - Efeitos a partir de 01/09/2018;Classificam-se neste código os fornecimentos de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de qualquer processo industrial no estabelecimento de cooperativa, destinados a seus cooperados ou a estabelecimento de outra cooperativa.;Origem / Destino Dentro Estado;5160;5.160 - Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo - Efeitos a partir de 01/09/2018
Devolução de compra para industrialização ou produção rural;Classificam-se neste código as devoluções de mercadorias adquiridas para serem comercializadas, cujas entradas tenham sido classificadas como Compra para comercialização.;Origem / Destino Dentro Estado;5201;5.201 - Devolução de compra para industrialização ou produção rural
Devolução de compra para comercialização;Classificam-se neste código as devoluções de mercadorias adquiridas para serem comercializadas, cujas entradas tenham sido classificadas como Compra para comercialização.;Origem / Destino Dentro Estado;5202;5.202 - Devolução de compra para comercialização
Anulação de valor relativo a aquisição de serviço de comunicação;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes das aquisições de serviços de comunicação.;Origem / Destino Dentro Estado;5205;5.205 - Anulação de valor relativo a aquisição de serviço de comunicação
Anulação de valor relativo a aquisição de serviço de transporte;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes das aquisições de serviços de transporte.;Origem / Destino Dentro Estado;5206;5.206 - Anulação de valor relativo a aquisição de serviço de transporte
Anulação de valor relativo à compra de energia elétrica;Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes da compra de energia elétrica.;Origem / Destino Dentro Estado;5207;5.207 - Anulação de valor relativo à compra de energia elétrica
Devolução de mercadoria recebida em transferência para industrialização ou produção rural;Classificam-se neste código as devoluções de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas.;Origem / Destino Dentro Estado;5208;5.208 - Devolução de mercadoria recebida em transferência para industrialização ou produção rural
Devolução de mercadoria recebida em transferência para comercialização;Classificam-se neste código as devoluções de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas.;Origem / Destino Dentro Estado;5209;5.209 - Devolução de mercadoria recebida em transferência para comercialização
Devolução de compra para utilização na prestação de serviço;Classificam-se neste código as devoluções de mercadorias adquiridas para utilização na prestação de serviços, cujas entradas tenham sido classificadas no código 1126, 2126 ou 3126 - Compra para utilização na prestação de serviço.;Origem / Destino Dentro Estado;5210;5.210 - Devolução de compra para utilização na prestação de serviço
Devolução de entrada de mercadoria com previsão de posterior ajuste ou fixação de preço, em ato cooperativo;"Classificam-se neste código as devoluções de entradas que tenham sido classificadas no código ""1.131 - Entrada de mercadoria com previsão de posterior ajuste ou fixação de preço, decorrente de operação de ato cooperativo"" ou ""2.131 - Entrada de mercadoria com previsão de posterior ajuste ou fixação de preço, decorrente de operação de ato cooperativo"", conforme a operação seja dentro ou fora do Estado respectivamente.";Origem / Destino Dentro Estado;5213;5.213 - Devolução de entrada de mercadoria com previsão de posterior ajuste ou fixação de preço, em ato cooperativo
Devolução de fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo, para comercialização;"Classificam-se neste código as devoluções de fixação de preço de mercadorias do estabelecimento produtor cuja entrada para comercialização tenha sido classificada no código ""1.132 - Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo"" ou ""2.132 - Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo"", conforme a operação seja dentro ou fora do Estado respectivamente.";Origem / Destino Dentro Estado;5214;5.214 - Devolução de fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo, para comercialização
Devolução de fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo para industrialização;"Classificam-se neste código as devoluções de fixação de preço de mercadorias do estabelecimento produtor cuja entrada para industrialização tenha sido classificada no código ""1.135 - Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo"" ou ""2.135 - Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo"", conforme a operação seja dentro ou fora do Estado respectivamente.";Origem / Destino Dentro Estado;5215;5.215 - Devolução de fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, de ato cooperativo para industrialização
